Gene name
acrE	0.2175209	0.2539449	0.3363820	0.2656787	0.2676779	0.3380709	0.3323339	0.2767886	0.2799327	0.3552961	0.2929926	0.3191761	0.3116103	0.3145090	0.2607688	0.2993869	0.2140905	0.2891500	0.2771844	0.2927260	0.3988196	0.3837211	0.3299667	0.4184716	0.2665291	0.4108465	0.3408225	0.2274729	0.2507592	0.3207189	0.3359825	0.2483600	0.2329280	0.3363741	0.2732822	0.3691663	0.2762710	0.2799917	0.3458443	0.3169819	0.3966404	0.3051000	0.3217746	0.3096275	0.2714373	0.3607771	0.2892318	0.2608169	0.3485265	0.3448529	0.2822327	0.3125010	0.3117910	0.3349903	0.3146558	0.3037446	0.3113305	0.3387346	0.3688150	0.4250612	0.2010191	0.3113234	0.3311916	0.2812063	0.3424131	0.2905368	0.3408776	0.3055214	0.2498061	0.3465400	0.2868380	0.3394513	0.3839317	0.2812905	0.3140478	0.3795608	0.2885861	0.2470917	0.3157184	0.3575765	0.2722074	0.3098533	0.2510963	0.2948333	0.2982734	0.3234662	0.2963577	0.3344265	0.3001008	0.2817044	0.2817630	0.4412217	0.2840488	0.3788979	0.2903694	0.3139773	0.3439927	0.3011699	0.3352763	0.3030619
acrF	0.3143928	0.4991419	0.5255477	0.5840568	0.4884639	0.2866495	0.3338804	0.4578493	0.4149682	0.3959169	0.4087533	0.4557745	0.4152197	0.3663382	0.4325836	0.3868255	0.4927790	0.5003760	0.5174570	0.4084263	0.4139326	0.3070035	0.4992021	0.5095147	0.3940961	0.4578010	0.3846972	0.5040675	0.3081549	0.4500510	0.3953326	0.4495997	0.4347700	0.4611928	0.4071957	0.4097308	0.5356640	0.4152513	0.2749773	0.4696022	0.4140704	0.4910156	0.4697453	0.3017385	0.3935198	0.5024082	0.4511886	0.4253552	0.4027711	0.4033490	0.2721910	0.4034735	0.4373481	0.4446309	0.3780413	0.2902287	0.4333410	0.3913317	0.4322763	0.6072327	0.5107310	0.4474999	0.4994525	0.2359282	0.3183632	0.4410152	0.4350697	0.4494232	0.3947462	0.4826082	0.5117196	0.4956802	0.3732126	0.4016291	0.3478421	0.4714759	0.4435805	0.4438217	0.5181987	0.3898463	0.3728304	0.4728521	0.4271444	0.4415103	0.4012294	0.4632354	0.4051263	0.4460652	0.5204401	0.4245467	0.4501053	0.3377010	0.3273239	0.4713706	0.4679415	0.3047747	0.4768798	0.3777608	0.4788275	0.4545536
acrR	0.6580957	0.6147097	0.5656198	0.6768894	0.6151665	0.6636456	0.6867826	0.8329030	0.5559900	0.8200621	0.6003827	0.7882736	0.6787663	0.6902820	0.6029125	0.7240529	0.6649501	0.6154465	0.6234776	0.6544205	0.7523999	0.6349280	0.5912422	0.6494465	0.5703091	0.5404363	0.6570947	0.6690810	0.5771150	0.7128333	0.5944301	0.6400654	0.6660593	0.6503287	0.6339407	0.7023322	0.6005527	0.6180855	0.5515252	0.5962355	0.6725882	0.6728642	0.7986462	0.6489573	0.5940709	0.6794485	0.7068395	0.5467761	0.6922503	0.6368680	0.6954442	0.7027090	0.6424236	0.6895069	0.6690648	0.6526017	0.5799666	0.8096348	0.7556315	0.6611197	0.7876822	0.7343032	0.6568196	0.5578566	0.6744288	0.5832177	0.5633526	0.6835247	0.5470564	0.6041375	0.5908392	0.6391935	0.6381544	0.6599314	0.6646522	0.6038495	0.7356226	0.6322297	0.5569383	0.6805620	0.6705106	0.6155915	0.5091751	0.7343458	0.5907310	0.5294569	0.6837686	0.7485134	0.5933447	0.7274159	0.5178470	0.6702215	0.5993908	0.6539748	0.6037993	0.5759761	0.6311846	0.6860020	0.7055481	0.6212684
acs	0.4773638	0.5601357	0.5888187	0.5251176	0.4343930	0.4536532	0.4515669	0.3820921	0.5581728	0.4980824	0.5099816	0.5047041	0.3877111	0.3498559	0.5537352	0.5749090	0.4674882	0.5036443	0.5999065	0.4765515	0.4742449	0.4402697	0.5294012	0.4332457	0.4181349	0.5852105	0.4490163	0.5084349	0.4874813	0.5980205	0.4484996	0.4836995	0.4854866	0.5225329	0.4076031	0.4264229	0.4527654	0.4117293	0.3813677	0.4276462	0.3860252	0.4735283	0.4456163	0.5233639	0.5323562	0.5146550	0.4688231	0.3668080	0.5459623	0.4967767	0.4537393	0.4782229	0.3288237	0.3756960	0.5245010	0.4869044	0.4638038	0.4021934	0.4168842	0.5804466	0.4703003	0.4203748	0.4130738	0.4680999	0.5226349	0.5955846	0.5133133	0.5311107	0.5231192	0.4890903	0.5302643	0.4986846	0.4662856	0.4467648	0.5119327	0.4320544	0.3837282	0.4337914	0.4991398	0.3502494	0.5032586	0.4789685	0.5085863	0.3751303	0.4436010	0.4084025	0.4107585	0.4973577	0.4602237	0.4057253	0.3654487	0.4336626	0.5137404	0.5515432	0.4669545	0.5583780	0.5138700	0.4223645	0.4225263	0.6220382
actP	0.1660518	0.2540507	0.1698429	0.3682339	0.1887744	0.2425376	0.2374189	0.1716376	0.2236243	0.2088585	0.2890140	0.4230900	0.1787412	0.1767180	0.1684485	0.2947893	0.3182918	0.1229288	0.2449427	0.2340027	0.1407300	0.2023693	0.1825350	0.2721030	0.2263740	0.3373791	0.1893159	0.2740588	0.1658141	0.1745259	0.2087572	0.2148685	0.1670182	0.1512860	0.1409419	0.1925443	0.2440981	0.2477669	0.1726298	0.2663939	0.2063385	0.3609354	0.2157347	0.1777494	0.1663839	0.1682004	0.1986668	0.2126009	0.2189698	0.1011608	0.3399912	0.2102918	0.1627074	0.2466301	0.2821483	0.2964227	0.3570546	0.2047843	0.1601055	0.2861626	0.1437146	0.1544355	0.2047424	0.1899474	0.1823885	0.3443545	0.1597570	0.2753443	0.1908140	0.1030548	0.1620046	0.2771605	0.2391586	0.2672640	0.3066412	0.2585509	0.1914761	0.2304627	0.2088413	0.2691376	0.2307647	0.2406088	0.1870291	0.1701011	0.2499608	0.2614411	0.2763132	0.4136109	0.2498371	0.1753554	0.2536579	0.2517754	0.2003771	0.1670422	0.1238260	0.1702057	0.2291944	0.2023740	0.1400430	0.1805776
ada	0.5348577	0.6522766	0.6159174	0.6369924	0.6374032	0.5881597	0.5852195	0.5832263	0.7023491	0.5673986	0.7474505	0.6574350	0.6804574	0.7095797	0.6602733	0.6543224	0.6762868	0.5765851	0.6797208	0.5394464	0.6152911	0.4852241	0.6707185	0.7151310	0.6454686	0.7012693	0.5491977	0.6154858	0.7159442	0.6159192	0.6430024	0.5706565	0.5629202	0.4976332	0.5387169	0.6170670	0.6165719	0.7079681	0.6723332	0.6016170	0.7063495	0.7000304	0.6139050	0.6102117	0.6619979	0.7329448	0.7094860	0.6424965	0.7406710	0.5736821	0.6612030	0.5095091	0.6841961	0.6448591	0.5773731	0.6257613	0.6602138	0.6075276	0.6767806	0.6520172	0.7837379	0.6400066	0.7336350	0.6794151	0.5612956	0.5881499	0.5692041	0.4778403	0.6674421	0.5843399	0.7018137	0.5399665	0.6110983	0.5694133	0.6178017	0.7437570	0.6213593	0.6381696	0.7402693	0.5841238	0.6635580	0.6753973	0.7685009	0.6923276	0.6775123	0.7099399	0.7066378	0.5950986	0.6955808	0.6350257	0.7133932	0.5858270	0.7000015	0.6193159	0.6038940	0.6348864	0.7441244	0.6202438	0.7114211	0.7305413
adhE	0.0885540	0.1128216	0.2234743	0.2382949	0.1712214	0.0809882	0.1859752	0.1682397	0.2313214	0.2018326	0.2493059	0.1593584	0.1620187	0.1982745	0.1280230	0.1464343	0.2280623	0.1839325	0.2089934	0.0970844	0.1530607	0.0585267	0.2043464	0.1421737	0.1625779	0.1695188	0.1052459	0.1258702	0.0924189	0.1456327	0.1704135	0.1622179	0.1994185	0.1448981	0.1440536	0.2683733	0.1318652	0.1447730	0.2698860	0.3174662	0.1054118	0.2353227	0.1565585	0.1901060	0.1260639	0.2845416	0.1616747	0.1621166	0.1627046	0.1695765	0.1110702	0.2294711	0.1546764	0.0903161	0.1874792	0.1102896	0.2820035	0.1387441	0.1730548	0.1228264	0.1287301	0.1217032	0.1344380	0.1036629	0.0708902	0.1974172	0.2799550	0.1268633	0.1196536	0.2255323	0.2649089	0.1786950	0.2008371	0.1624375	0.1461661	0.1989183	0.1946384	0.1364579	0.1824383	0.2433651	0.1231256	0.2081037	0.1384420	0.1550173	0.1234443	0.1990472	0.1941223	0.2576940	0.1896536	0.0732850	0.1262476	0.2112529	0.1351020	0.2403396	0.1998550	0.1142097	0.2198224	0.1355800	0.1159450	0.2113049
adiA	0.4021812	0.3856485	0.3892796	0.3242893	0.2618843	0.3468445	0.2796043	0.4189805	0.3428120	0.2774954	0.3150690	0.3318351	0.3044118	0.3738449	0.5117054	0.2883556	0.2698566	0.3811977	0.3614002	0.3087950	0.4203346	0.2980235	0.3014093	0.2715752	0.3176377	0.2877214	0.4013093	0.3876974	0.3447685	0.3448219	0.3699733	0.4069012	0.3498524	0.3299282	0.3410605	0.3400514	0.1691710	0.3037270	0.3605755	0.3134119	0.3045959	0.1923122	0.3160892	0.4263993	0.2603176	0.3823627	0.3090200	0.3106580	0.2919051	0.3882741	0.2410751	0.3219637	0.2915355	0.3010695	0.3771224	0.3313088	0.2596907	0.3221088	0.3682652	0.2890458	0.3724892	0.4674827	0.4343884	0.3017126	0.4221044	0.2810703	0.2490231	0.3314975	0.3299816	0.2750297	0.2543977	0.4153265	0.3470585	0.3642226	0.4125675	0.3626142	0.2887003	0.3237913	0.3815349	0.3201535	0.4985034	0.4184660	0.4192503	0.3104880	0.2393364	0.4106439	0.3408143	0.3505581	0.1993076	0.3577208	0.4300450	0.3822541	0.3351782	0.4055697	0.3184557	0.3464893	0.3562211	0.2153865	0.2901848	0.3897300
adiY	0.7500401	0.6940737	0.7315325	0.5673232	0.6367216	0.5605141	0.6404097	0.7903438	0.6039057	0.6634292	0.6654570	0.5220711	0.5651245	0.6076926	0.5292210	0.6918571	0.4951435	0.5594431	0.6009100	0.5745415	0.5894662	0.7847097	0.5930609	0.6446518	0.7193817	0.5709870	0.6382775	0.5791011	0.6439135	0.7980921	0.7218882	0.6282098	0.6598013	0.6164304	0.6805834	0.5974427	0.6937201	0.7544067	0.5713897	0.5439950	0.5895175	0.6643090	0.5961337	0.6696806	0.6718338	0.6629191	0.5821136	0.6321176	0.6266474	0.5901325	0.5620909	0.5780481	0.4835623	0.6061105	0.7011194	0.6088075	0.6383509	0.5112393	0.5972598	0.6699088	0.6385563	0.5923979	0.6888119	0.6768362	0.6287719	0.6123095	0.7043228	0.6006476	0.6210401	0.6098460	0.6553275	0.6839037	0.5620567	0.6830718	0.5283279	0.6863240	0.5202767	0.6560730	0.5874209	0.6619481	0.8108140	0.6088577	0.5432411	0.7215948	0.7175542	0.5574279	0.6657540	0.6958000	0.6324025	0.6106816	0.6408626	0.5343617	0.6187640	0.5406577	0.6239730	0.6823290	0.7502850	0.5876861	0.5307147	0.5426511
adrA	0.2930780	0.2649911	0.2214172	0.3932427	0.3103862	0.3468203	0.3061290	0.2986316	0.2692688	0.3238023	0.3146525	0.2749722	0.3225345	0.3572239	0.3947331	0.2878700	0.3573834	0.3624592	0.4310648	0.2989770	0.2986618	0.2884245	0.3842690	0.2990916	0.2367439	0.3892020	0.3085312	0.3026778	0.3080140	0.4455521	0.4008123	0.2307231	0.3279416	0.3599465	0.3091818	0.4209053	0.4332612	0.2360735	0.3212989	0.2602957	0.5609351	0.3057983	0.3591681	0.3480121	0.3240826	0.4007022	0.3276929	0.3707814	0.4128816	0.3242009	0.3692108	0.3552535	0.4499373	0.2061619	0.2886145	0.3265134	0.3297004	0.2860476	0.3807624	0.3932386	0.4095046	0.3747317	0.3369444	0.3828691	0.2699119	0.3164797	0.3155447	0.2292796	0.3596027	0.2809022	0.2356430	0.3958876	0.3980853	0.2823289	0.4832522	0.2866411	0.2988673	0.2402103	0.4770231	0.3774289	0.3196116	0.2908501	0.2270362	0.2866192	0.3532611	0.4014762	0.3842784	0.3372500	0.3212986	0.3404411	0.1912756	0.3694703	0.3284267	0.4694228	0.4512480	0.2639391	0.3369082	0.3046995	0.3168517	0.2777830
